"REGIÃO
ADMINISTRATIVA",UNIDADE BÁSICA DE SAÚDE,HORÁRIO DE FUNCIONAMENTO,ENDEREÇO DA UNIDADE,lat,long
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 4 DA CEILÂNDIA,segunda a sexta das 07 às 18h,QNN 16 Área Especial F,-15.8356324,-48.1051628
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 5 DA CEILÂNDIA,segunda a sexta das 07 às 18h,** QNM 16 Módulo F Área Especial S/N,-15.7539313,-47.8787221
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 6 DA CEILÂNDIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,"EQNP 10/14 Módulos E,F,G",-15.8401078,-48.1142798
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 7 DA CEILÂNDIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QNO 10 Área Especial D/E,-15.7971886,-48.1309477
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 8 DA CEILÂNDIA,segunda a sexta das 07 às 18h,EQNP 13/17 Área Especial A-B-C-D,-15.8066412,-48.1290161
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 9 DA CEILÂNDIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,EQNP 28/32 - P SUL,-15.8464749,-48.1238014
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 10 DA CEILÂNDIA,segunda a sexta das 07 às 18h,QNN 12 Área Especial número 01,-15.8102211,-48.0931521
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 11 DA CEILÂNDIA,"Em reforma, equipes atendendo na UBS no 7 de Ceilândia",QNO 10 Área Especial,-15.797827,-48.1302724
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 12 DA CEILÂNDIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QNQ 03/04 Área Especial,-9.8911488,-63.0306147
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 13 DA CEILÂNDIA,segunda a sexta das 07 às 17h,Núcleo Rural Boa Esperança,-15.8283894,-48.246473
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 14 DA CEILÂNDIA,segunda a sexta das 07 às 17h,Condomínio Prive Lucena Roriz Rua 01 Área Especial 03,-15.786011,-48.1377223
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 15 DA CEILÂNDIA,segunda a sexta das 07 às 17h,QNP21 AREA ESPECIAL S/N,-15.8105104,-48.1399226
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 16 DA CEILÂNDIA,A INAUGURAR,Quadra 500 AE S/N Trecho 1 Sol Nascente,-15.8260162,-48.1215654
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 17 DA CEILÂNDIA,A INAUGURAR,EQNP 16/20,-15.8455894,-48.1122244
CEILÂNDIA,UNIDADE BÁSICA DE SAÚDE N° 18 DA CEILÂNDIA,A INAUGURAR,QNN 28 H/I/J/K,-15.8322141,-48.1144779
CRUZEIRO,UNIDADE BÁSICA DE SAÚDE N° 1 DO CRUZEIRO,segunda a sexta das 07 às 19h e sábado das 07 às 12h,SHCES - Quadra 611 lt. 01 - Cruzeiro Novo,-15.8007938,-47.942048
CRUZEIRO,UNIDADE BÁSICA DE SAÚDE N° 2 DO CRUZEIRO,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Setor Escolar Lote 04 - Cruzeiro Velho,-15.7839184,-47.9364837
FERCAL,UNIDADE BÁSICA DE SAÚDE N° 1 DA FERCAL,segunda a sexta das 07 às 17h,"DF 150 KM 12 Rua 9 Lote 02, Fercal Oeste",-15.6017939,-47.8714778
FERCAL,UNIDADE BÁSICA DE SAÚDE N° 2 DA FERCAL,segunda a sexta das 07 às 17h,Rodovia DF 205 Oeste Km 13 Núcleo Rural Catingueiro,-15.528791,-47.6880689
GAMA,UNIDADE BÁSICA DE SAÚDE N° 1 DO GAMA,segunda a sexta das 07 às 18h,Entrequadra 06/12 Setor Sul,-16.0294552,-48.0729113
GAMA,UNIDADE BÁSICA DE SAÚDE N° 2 DO GAMA,segunda a sexta das 07 às 18h,Quadra 11 AE Lotes A B C e D,-14.8418163,-40.8706089
GAMA,UNIDADE BÁSICA DE SAÚDE N° 3 DO GAMA,segunda a sexta das 07 às 18h,EQ 3/5 AREA ESPECIAL SETOR LESTE,-16.006585,-48.051579
GAMA,UNIDADE BÁSICA DE SAÚDE N° 4 DO GAMA,segunda a sexta das 07 às 18h,Praça 3 área especial 2 setor Leste,-16.0234586,-48.0541712
GAMA,UNIDADE BÁSICA DE SAÚDE N° 5 DO GAMA,segunda a sexta das 07 às 18h,Área Especial lote 38 setor central lado leste,-16.0188577,-48.0679507
GAMA,UNIDADE BÁSICA DE SAÚDE N° 6 DO GAMA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Entrequadra 12/16 área especial Setor Oeste,-16.0088612,-48.0753917
GAMA,UNIDADE BÁSICA DE SAÚDE N° 7 DO GAMA,segunda a sexta das 07 às 17h,"Área Especial número 1, Estádio Bezerrao, Setor Central",-16.0113658,-48.061752
GAMA,UNIDADE BÁSICA DE SAÚDE N° 8 DO GAMA,segunda a sexta das 07 às 17h,Travessa Eucaliptos no 4 Área Especial DVO,-16.0155971,-48.0701994
GAMA,UNIDADE BÁSICA DE SAÚDE N° 9 DO GAMA,segunda a sexta das 07 às 17h,"Engenho das Lages, Rua Libânio Casa N° 13",-16.0417935,-48.2580686
GAMA,UNIDADE BÁSICA DE SAÚDE N° 10 DO GAMA,segunda a sexta das 07 às 17h,Quadra 01 cj D casa 8 Setor Sul,-15.4617564,-47.6120983
GAMA,UNIDADE BÁSICA DE SAÚDE N° 11 DO GAMA,segunda a sexta das 07 às 17h,DF 475 KM 3 atrás da escola pública CEF PAN,-15.9452993,-48.0384438
GAMA,UNIDADE BÁSICA DE SAÚDE N° 12 DO GAMA,segunda a sexta das 07 às 17h,"Ponte Alta, DF – 020, Antigo posto fiscal",-16.0090457,-48.1598642
GAMA,UNIDADE BÁSICA DE SAÚDE N° 13 DO GAMA,segunda a sexta das 07 às 17h,"Quadra 26 casa 39, setor Leste",-15.4480215,-47.5910063
GUARÁ,UNIDADE BÁSICA DE SAÚDE N° 1 DO GUARÁ,segunda a sexta das 07 às 18h,"** QE 06, lote C, AE S/N-Guará I",-15.8396323,-47.9659153
GUARÁ,UNIDADE BÁSICA DE SAÚDE N° 2 DO GUARÁ,segunda a sexta das 07 às 19h e sábado das 07 às 12h,"QE 23, lote C-AE S/N Guará II",-15.8253698,-47.9755569
GUARÁ,UNIDADE BÁSICA DE SAÚDE N° 3 DO GUARÁ,segunda a sexta das 07 às 18h,** QE 38 Área Especial-Guará II,-15.847269,-47.9689183
GUARÁ,UNIDADE BÁSICA DE SAÚDE N° 4 DO GUARÁ,segunda a sexta das 07 às 17h,QELC-EQ 2/3-Conj. Lúcio Costa,-15.8075851,-47.9879423
GUARÁ,UNIDADE BÁSICA DE SAÚDE N° 5 DO GUARÁ,segunda a sexta das 07 às 18h,* QE 38 Área Especial-Guará II,-15.847269,-47.9689183
ITAPOÃ,UNIDADE BÁSICA DE SAÚDE N° 1 DO ITAPOÃ,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QD 378 AE DEL LAGO,-15.7403559,-47.7634971
ITAPOÃ,UNIDADE BÁSICA DE SAÚDE N° 2 DO ITAPOÃ,segunda a sexta das 07 às 18h,* 61 AE DEL LAGO,-15.745959,-47.769066
LAGO NORTE,UNIDADE BÁSICA DE SAÚDE N°1 DO LAGO NORTE,segunda a sexta das 07 às 17h,"SHIN QI 03 Área Especial, Lago Norte",-15.7335091,-47.8732479
NÚCLEO BANDEIRANTE,UNIDADE BÁSICA DE SAÚDE No 1 DO NÚCLEO BANDEIRANTE,segunda a sexta das 07 às 19h e sábado das 07 às 12h,3a Avenida-Área Especial no 3,-15.4549667,-47.6151915
NÚCLEO BANDEIRANTE,UNIDADE BÁSICA DE SAÚDE N° 2 DO NÚCLEO BANDEIRANTE,segunda a sexta das 07 às 17h,R1 Rua dos Engenheiros no 2,-23.61933,-46.874494
PARANOÁ,UNIDADE BÁSICA DE SAÚDE N° 1 DO PARANOÁ,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QUADRA 21 AE,-15.6387843,-47.8009268
PARANOÁ,UNIDADE BÁSICA DE SAÚDE N° 2 DO PARANOÁ,segunda a sexta das 07 às 18h,* QD 18 AE,-15.6476781,-47.7668955
PARANOÁ,UNIDADE BÁSICA DE SAÚDE N° 3 DO PARANOÁ,segunda a sexta das 07 às 18h,* BR 251 KM 07 PAD DF,-16.001165,-47.562398
PARANOÁ,UNIDADE BÁSICA DE SAÚDE N° 4 DO PARANOÁ,segunda a sexta das 07 às 18h,* DF 285 KM 23 AE NR JARDIM II,-16.018273,-47.4325526
PARANOÁ,UNIDADE BÁSICA DE SAÚDE N° 5 DO PARANOÁ,segunda a sexta das 07 às 18h,* DF 125 BR 251 Capão Seco,-15.9782306,-47.581992
PARANOÁ,UNIDADE BÁSICA DE SAÚDE N° 6 DO PARANOÁ,segunda a sexta das 07 às 18h,* Colônia Agrícola Cariru - Área Especial,-15.4550566,-47.615142
PARANOÁ,UNIDADE BÁSICA DE SAÚDE N° 7 DO PARANOÁ,segunda a sexta das 07 às 18h,* DF 270 KM 02 Café sem Troco,-15.9374655,-47.5969319
PARK WAY,UNIDADE BÁSICA DE SAÚDE N° 1 DO PARKWAY,segunda a sexta das 07 às 18h,* Área Especial no 1 - Vargem Bonita,-20.406829,-46.3240951
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 1 DE PLANALTINA,A INAUGURAR,Setor Residencial Leste Buritis IV (SEDEST),-15.6230827,-47.6409402
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 2 DE PLANALTINA,segunda a sexta das 07 às 18h,"** EQ 1/10 Área Especial A, Vila Buritis",-15.6539349,-47.7790946
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 3 DE PLANALTINA,segunda a sexta das 07 às 17h,"Setor Hospitalar - Planaltina, Brasília/DF(CEP Saúde e Centro Olimpico)",-15.6247971,-47.654656
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 4 DE PLANALTINA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Estância Nova Planaltina Quadra 02 Rua A Área Especial,-15.6216249,-47.6521514
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 5 DE PLANALTINA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Quadra 12 D Conjunto A Área Especial Arapoanga,-15.6374021,-47.6296598
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 6 DE PLANALTINA,segunda a sexta das 07 às 17h,Quadra 08 Conjunto 1 Arapoanga,-15.6395177,-47.6409308
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 7 DE PLANALTINA,segunda a sexta das 07 às 17h,Entrequadras 03/04 Área Especial 2 Jardim Roriz,-15.4550566,-47.615142
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 8 DE PLANALTINA,segunda a sexta das 07 às 17h,CR 71 Casa 177 Vale do Amanhecer,-15.6706351,-47.6451794
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 9 DE PLANALTINA,segunda a sexta das 07 às 17h,Posto Saúde Rural de Santos Dumont,-22.9825677,-47.1072186
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 10 DE PLANALTINA,segunda a sexta das 07 às 17h,Núcleo Rural Taquara,-15.6312612,-47.5195639
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 11 DE PLANALTINA,segunda a sexta das 07 às 17h,"Núcleo Rural Rajadinha II, Rua 02, Lote 16/17, Chácara Riacho Doce",-15.745708,-47.6621283
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 12 DE PLANALTINA,segunda a sexta das 07 às 17h,"DF 128 Condomínio Samaúma Conjunto A Lote 13, Bica do DER",-15.692604,-47.702242
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 13 DE PLANALTINA,segunda a sexta das 07 às 17h,Núcleo Rural São José Área Especial,-15.7037494,-47.3750499
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 14 DE PLANALTINA,segunda a sexta das 07 às 17h,Núcleo Rural Tabatinga,-15.8206703,-47.5699088
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 15 DE PLANALTINA,segunda a sexta das 07 às 17h,Núcleo Rural Rio Preto,-15.7636047,-47.4925695
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 16 DE PLANALTINA,segunda a sexta das 07 às 17h,Núcleo Rural Pipiripau,-15.6024778,-47.6655938
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 17 DE PLANALTINA,segunda a sexta das 07 às 17h,"Condomínio Morumbi Quadra N, Lote 15, Vale do Sol, BR 020, KM 04",-21.2948128,-50.3496683
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 18 DE PLANALTINA,segunda a sexta das 07 às 17h,Centro Olímpico de Planaltina,-15.6207016,-47.6565802
PLANALTINA,UNIDADE BÁSICA DE SAÚDE N° 19 DE PLANALTINA,segunda a sexta das 07 às 17h,Parque Sucupira de Planaltina,-15.6044873,-47.6601253
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 1 DE RECANTO DAS EMAS,segunda a sexta das 07 às 17h,Quadra 307 Área Especial 01 Conjunto D,-23.5864869,-46.6417124
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 2 DE RECANTO DAS EMAS,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Quadra 102 Área Especial 01,-23.523079,-46.62961
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 3 DE RECANTO DAS EMAS,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Quadra 104/105 Área Especial,-15.6160961,-47.6551149
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 4 DE RECANTO DAS EMAS,segunda a sexta das 07 às 19h e sábado das 07 às 12h,Quadra 308 Área Especial,-15.923554,-48.101454
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 5 DE RECANTO DAS EMAS,segunda a sexta das 07 às 17h,Quadra 803 Área Especial Escola 803,-12.9737157,-38.4924877
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 6 DE RECANTO DAS EMAS,segunda a sexta das 07 às 17h,Av. Ponte Alta Quadra 604 - Centro Olímpico,-29.8490866,-51.161899
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 7 DE RECANTO DAS EMAS,segunda a sexta das 07 às 17h,Núcle Rural Casa Grande - Monjolo,-15.9664318,-48.1019677
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 8 DE RECANTO DAS EMAS,segunda a sexta das 07 às 17h,DF 280 KM 03 Quadra 04 Setor Habitacional Água Quente,-15.9428959,-48.237121
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 9 DE RECANTO DAS EMAS,segunda a sexta das 07 às 17h,Quadra 101 Lote 19 ANEXO DA UBS 02,-15.9019865,-48.0595859
RECANTO DAS EMAS,UNIDADE BÁSICA DE SAÚDE N° 10 DE RECANTO DAS EMAS,segunda a sexta das 07 às 17h,Quadra 311 Lote 01 AV. Monjolo,-15.909745,-48.0812536
RIACHO FUNDO I,UNIDADE BÁSICA DE SAÚDE N° 1 DO RIACHO FUNDO I,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QN 07-Áres Especial no 09-RF I,-15.8816778,-48.0156689
RIACHO FUNDO I,UNIDADE BÁSICA DE SAÚDE N° 2 DO RIACHO FUNDO I,segunda a sexta das 07 às 18h,* QN 01 Área Especial-RF I,-15.8798868,-48.0213958
RIACHO FUNDO II,UNIDADE BÁSICA DE SAÚDE N° 1 DO RIACHO FUNDO II,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QC 06 Conj. 16-Área Especial-RF II,-15.8992271,-48.0493873
RIACHO FUNDO II,UNIDADE BÁSICA DE SAÚDE N° 2 DO RIACHO FUNDO II,segunda a sexta das 07 às 17h,"QC 01 Conj. 10, lote 01-RF II",-15.9091316,-48.0489815
RIACHO FUNDO II,UNIDADE BÁSICA DE SAÚDE N° 3 DO RIACHO FUNDO II,segunda a sexta das 07 às 17h,QN 07 A/B lotes 1/2 AE-RF II,-15.8992271,-48.0493873
RIACHO FUNDO II,UNIDADE BÁSICA DE SAÚDE N° 4 DO RIACHO FUNDO II,segunda a sexta das 07 às 17h,Área Especial 01-CAUB I,-15.9231679,-48.0523183
RIACHO FUNDO II,UNIDADE BÁSICA DE SAÚDE N° 5 DO RIACHO FUNDO II,segunda a sexta das 07 às 17h,"CAUB II, lote 13-RF II",-15.9409765,-48.0344835
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 1 DE SAMAMBAIA,segunda a sexta das 07 às 17h,QR 408-ÁREA ESPECIAL No 1,-15.8625882,-48.1139981
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 2 DE SAMAMBAIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QS 611 AE 02,-15.8755838,-48.1093115
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 3 DE SAMAMBAIA,segunda a sexta das 07 às 18h,QN 429 CONJ F LOTE 1 EXPANSÃO,-15.8904314,-48.1423988
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 4 DE SAMAMBAIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QN 512 CONJ. 2 LT 1/2/3,-15.8803171,-48.0736748
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 5 DE SAMAMBAIA,segunda a sexta das 07 às 18h,** QN 523 AE 01,-15.8986297,-48.1212787
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 6 DE SAMAMBAIA,segunda a sexta das 07 às 17h,QS 122 CONJ. 06 LOTE 01,-15.8702391,-48.0572737
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 7 DE SAMAMBAIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QD 302 CONJ. 05 LOTE 01,-5.0387703,-42.4506837
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 8 DE SAMAMBAIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QS 314 CONJ 05 LOTE 01,-15.8756543,-48.0680355
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 9 DE SAMAMBAIA,segunda a sexta das 07 às 17h,QN 317 AE 01,-15.892464,-48.113447
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 10 DE SAMAMBAIA,segunda a sexta das 07 às 17h,QN 501 CONJ. 07 CASA 31,-15.8844252,-48.088529
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 11 DE SAMAMBAIA,segunda a sexta das 07 às 17h,QS 1033 CONJ. 01 LOTE 04,-15.8802524,-48.0863031
SAMAMBAIA,UNIDADE BÁSICA DE SAÚDE N° 12 DE SAMAMBAIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QD 210 CONJ. 22,-15.8391577,-48.040775
SANTA MARIA,UNIDADE BÁSICA DE SAÚDE N° 1 DE SANTA MARIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,QR 307 Conjunto T AE,-16.0265601,-48.02644
SANTA MARIA,UNIDADE BÁSICA DE SAÚDE N° 2 DE SANTA MARIA,segunda a sexta das 07 às 19h e sábado das 07 às 12h,EQ 217/317/218/318 ÁREA ESPECIAL LOTE E SANTA MARIA NORTE BRASÍLIA DF,-16.0157466,-48.0051406
SANTA MARIA,UNIDADE BÁSICA DE SAÚDE N° 3 DE SANTA MARIA,segunda a sexta das 07 às 17h,QD 100 Conjunto I área especial,-4.2487438,-42.2900299
SANTA MARIA,UNIDADE BÁSICA DE SAÚDE N° 4 DE SANTA MARIA,segunda a sexta das 07 às 17h,QR 217 conj D casa 16,-16.0059623,-47.992789
SANTA MARIA,UNIDADE BÁSICA DE SAÚDE N° 5 DE SANTA MARIA,segunda a sexta das 07 às 17h,QR 212/213 de Santa Maria,-16.0100717,-48.0048806
SANTA MARIA,UNIDADE BÁSICA DE SAÚDE N° 6 DE SANTA MARIA,segunda a sexta das 07 às 17h,QR 202/203 Área Especial - Santa Maria Sul,-16.0400237,-48.032134
SANTA MARIA,UNIDADE BÁSICA DE SAÚDE N° 7 DE SANTA MARIA,segunda a sexta das 07 às 17h,Av Brigadeiro Faria Lima s/n Área Especial,-23.5773621,-46.6884175
SANTA MARIA,UNIDADE BÁSICA DE SAÚDE N° 8 DE SANTA MARIA,segunda a sexta das 07 às 17h,EQ 417/517 MDE,-16.0152637,-47.9910768
SANTA MARIA,UNIDADE BÁSICA DE SAÚDE N° 9 DE SANTA MARIA,segunda a sexta das 07 às 17h,QR 402 Conjunto A Casa 21,-16.0175728,-47.9865503
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 1 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 19h e sábado das 07 às 12h,CENTRO DE MULTIPLAS ATIV CONJ 10,-29.6516239,-51.1746222
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 2 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,"DF 140 KM 7,5",-15.8897986,-47.7777403
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 3 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Centro Olímpico de São Sebastião (Morro Azul),-15.8916064,-47.7819469
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 4 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Rua da Escola 540 - Vila Nova,-22.6962993,-43.4104805
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 5 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Quadra 301 Conjunto 6 LOTE 1,-15.8283598,-48.0131671
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 6 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Conjunto 5 Casa 1 São Francisco,37.5639185,-122.2855032
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 7 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Rua 26 Conjunto B Casa 17,-13.6636419,-59.7983875
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 8 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Rua 7 Casa 400 Vila do Boa,2.8095852,-60.7414604
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 9 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Rua 06 Casa 70 Setor Tradicional,-15.9058398,-47.7536042
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 10 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,"Rua 14 Lote 21 Loja 1, 2, 3 João Candido",-23.3103343,-51.1612252
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 11 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Chácara 10,-15.8158764,-48.024419
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 12 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Quadra 31 Casa 6 São José,-23.297712,-47.2990877
SÃO SEBASTIÃO,UNIDADE BÁSICA DE SAÚDE N° 13 DE SÃO SEBASTIÃO,segunda a sexta das 07 às 17h,Rua 52 Casa 41 - Vila Nova,-22.3876282,-47.5467989
